"Drug1","Drug2","Drug1.target","Drug2.target","n.syn","n.syn.score","Drug.num1","Drug.num2"
"RKI983","Tozasertib/VX680","ROCK","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.402388715854455,16,92
"SU6656","Tozasertib/VX680","Lyn/Src/Fyn/Yes","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.162576491999702,52,92
"SrcI1","Tozasertib/VX680","Src","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.359819558274482,18,92
"T0901317","Tozasertib/VX680","LXR","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.119452308490637,56,92
"Tideglusib/TZDZ-8","Tozasertib/VX680","GSK3","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.010918876482504,80,92
"U73122","Tozasertib/VX680","PLC","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.4406122945847,20,92
"Veliparib/ABT888","Tozasertib/VX680","PARP","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.0133303924632893,81,92
"XAV939","Tozasertib/VX680","tankyrase 1/2","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,0.0635754419896859,97,92
"bivanib/BI2536","Tozasertib/VX680","Plk1","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.693339666070181,8,92
"cediranib/AZD2171","Tozasertib/VX680","VEGFR (pan)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.0316619546210585,73,92
"cisplatin","Tozasertib/VX680","alkylating agent (platinum)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.206077530842032,21,92
"dasatanib","Tozasertib/VX680","Multi (BCR-Abl, EAR, PDGFR, c-kit)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.323767187413256,34,92
"decitabine","Tozasertib/VX680","methyl transferase inhibitor","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.0550348491314658,69,92
"etoposide","Tozasertib/VX680","topoisomerase inhibitors (Type II, podophyllotoxin)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,0.0635754419896859,105,92
"fingolimod","Tozasertib/VX680","Sphingosine-1-phosphate receptor agonist","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-1.44563020473664,1,92
"gemcitabine","Tozasertib/VX680","Antimetabolite (pyrimidine)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.153458455606447,50,92
"selumetinib/AZD6244","Tozasertib/VX680","MEK","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.347994056139782,32,92
"sorafenib","Tozasertib/VX680","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.278916642314896,26,92
"sunitinib","Tozasertib/VX680","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",1,-0.192100370369747,42,92
"BID1870","U73122","RSK (RSK1/2/3/5/, PLK1, ARKB)","PLC",1,-0.4406122945847,45,20
"C75","U73122","Fatty Acid Synthase","PLC",1,-0.4406122945847,47,20
"JZL184","U73122","MAGL","PLC",1,-0.4406122945847,33,20
"KU0063794","U73122","mTOR kinase","PLC",1,-0.4406122945847,83,20
"KU55933","U73122","ATM","PLC",1,-0.4406122945847,46,20
"LFM-A13","U73122","BTK, Plk","PLC",1,-0.4406122945847,90,20
"LSN415169","U73122","gamma secretase","PLC",1,-0.4406122945847,84,20
"PIM-1 4a","U73122","PIM","PLC",1,-0.4406122945847,36,20
"Tie2i","U73122","TIE_2","PLC",1,-0.4406122945847,48,20
"XAV939","U73122","tankyrase 1/2","PLC",1,-0.4406122945847,97,20
"A769662","VX702","AMPK agonist","p38",1,-0.0237346590445552,76,74
"AZD7762","VX702","Chk1/2","p38",1,-0.235807732191894,27,74
"CHIR265","VX702","Raf, VEGFR","p38",1,-0.493657827425881,14,74
"Darinaparsin","VX702","arsenic","p38",1,-0.0696718390463488,60,74
"Dovitinib/CHIR-258","VX702","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","p38",1,-0.231123967780668,35,74
"EX527","VX702","SIRT1","p38",1,-0.0237346590445552,100,74
"Indole-3-carbinol","VX702","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","p38",1,-0.0237346590445552,89,74
"MK1775","VX702","Wee-1","p38",1,-0.199153973073772,37,74
"Midostaurin/PKC412","VX702","Multi (FLT3, KIT, etc., broad spectrum)","p38",1,-0.431452205788562,15,74
"OSI906","VX702","IGF1R","p38",1,-0.117845280903863,57,74
"PD173074","VX702","FGFR1/3","p38",1,-0.0237346590445552,91,74
"PIM-1 4a","VX702","PIM","p38",1,-0.134878915866732,36,74
"PLX4720","VX702","Raf (BRafV600E)","p38",1,-0.0237346590445552,79,74
"SNS314","VX702","Aurora (pan)","p38",1,-0.165908526560542,55,74
"Tamatinib/R406","VX702","Syk","p38",1,-0.39271410785618,17,74
"Tanespimycin/17-AAG","VX702","HSP90","p38",1,-0.584542563071651,19,74
"ZM336372","VX702","Raf (c-Raf)","p38",1,-0.163614814537669,43,74
"everolimus","VX702","mTor","p38",1,-0.204356742427494,41,74
"nilutamide","VX702","androgen receptor","p38",1,-0.0237346590445552,77,74
"sunitinib","VX702","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","p38",1,-0.192100370369747,42,74
"vatalanib/PTK787","VX702","VEFGR (1-4), c-kit, PDGFb","p38",1,-0.236697076857935,22,74
"vorinostat/SAHA","VX702","HDAC","p38",1,-0.0237346590445552,96,74
"AS252424","Veliparib/ABT888","PI3K (gamma)","PARP",1,-0.084105914053422,62,81
"AZD7762","Veliparib/ABT888","Chk1/2","PARP",1,-0.235807732191894,27,81
"GSK650394","Veliparib/ABT888","SGK","PARP",1,-0.0133303924632893,94,81
"GW0742","Veliparib/ABT888","PPARd, agonist","PARP",1,-0.0838389434813723,63,81
"GW2580","Veliparib/ABT888","CSF1R/fms","PARP",1,-0.0395193150580618,71,81
"HIF-1i","Veliparib/ABT888","HIFa","PARP",1,-0.248500208778964,30,81
"QS11","Veliparib/ABT888","ARFGAP","PARP",1,-0.35240992246119,28,81
"ZM336372","Veliparib/ABT888","Raf (c-Raf)","PARP",1,-0.163614814537669,43,81
"cediranib/AZD2171","Veliparib/ABT888","VEGFR (pan)","PARP",1,-0.0316619546210585,73,81
"nilutamide","Veliparib/ABT888","androgen receptor","PARP",1,-0.0177184999435493,77,81
"tipifarnib","Veliparib/ABT888","FTI","PARP",1,-0.0374982424838033,72,81
"AZD7762","Vismodegib/GDC0449","Chk1/2","Hh",1,-0.235807732191894,27,104
"CP690550","Vismodegib/GDC0449","JAK3","Hh",1,-0.0449088428320118,70,104
"GSK0660","Vismodegib/GDC0449","PPARd, ant","Hh",1,-0.0461250045137439,68,104
"IPA3","Vismodegib/GDC0449","PAK","Hh",1,0.0104066233119734,88,104
"Indole-3-carbinol","Vismodegib/GDC0449","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","Hh",1,0.0106626055064708,89,104
"Midostaurin/PKC412","Vismodegib/GDC0449","Multi (FLT3, KIT, etc., broad spectrum)","Hh",1,-0.431452205788562,15,104
"PF04217903","Vismodegib/GDC0449","MET","Hh",1,0.00389270839162641,87,104
"PF562271","Vismodegib/GDC0449","FAK1/2","Hh",1,-0.114544222277374,64,104
"PIM-1 4a","Vismodegib/GDC0449","PIM","Hh",1,-0.134878915866732,36,104
"SNS-032","Vismodegib/GDC0449","CDK2/7/9","Hh",1,-0.175159821332344,38,104
"SNS314","Vismodegib/GDC0449","Aurora (pan)","Hh",1,-0.165908526560542,55,104
"U73122","Vismodegib/GDC0449","PLC","Hh",1,-0.4406122945847,20,104
"cisplatin","Vismodegib/GDC0449","alkylating agent (platinum)","Hh",1,-0.206077530842032,21,104
"dasatanib","Vismodegib/GDC0449","Multi (BCR-Abl, EAR, PDGFR, c-kit)","Hh",1,-0.323767187413256,34,104
"fludarabine","Vismodegib/GDC0449","Antimetabolite (purine)","Hh",1,-0.759056781003144,11,104
"sorafenib","Vismodegib/GDC0449","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","Hh",1,-0.278916642314896,26,104
"sunitinib","Vismodegib/GDC0449","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","Hh",1,-0.192100370369747,42,104
"vatalanib/PTK787","Vismodegib/GDC0449","VEFGR (1-4), c-kit, PDGFb","Hh",1,-0.236697076857935,22,104
"BID1870","XAV939","RSK (RSK1/2/3/5/, PLK1, ARKB)","tankyrase 1/2",1,-0.136332869148285,45,97
"JZL184","XAV939","MAGL","tankyrase 1/2",1,-0.173135067746411,33,97
"CHIR265","XL147","Raf, VEGFR","PI3K",1,-0.493657827425881,14,61
"CP690550","XL147","JAK3","PI3K",1,-0.0860101298945154,70,61
"Dorsomorphin","XL147","AMPK/BMP antagonist","PI3K",1,-0.146925432628986,39,61
"EX527","XL147","SIRT1","PI3K",1,-0.0860101298945154,100,61
"GSK650394","XL147","SGK","PI3K",1,-0.0860101298945154,94,61
"HIF-1i","XL147","HIFa","PI3K",1,-0.248500208778964,30,61
"LFM-A13","XL147","BTK, Plk","PI3K",1,-0.0860101298945154,90,61
"QS11","XL147","ARFGAP","PI3K",1,-0.35240992246119,28,61
"SNS-032","XL147","CDK2/7/9","PI3K",1,-0.175159821332344,38,61
"TCS401","XL147","PTP-1B","PI3K",1,-0.0860101298945154,107,61
"XAV939","XL147","tankyrase 1/2","PI3K",1,-0.0860101298945154,97,61
"cediranib/AZD2171","XL147","VEGFR (pan)","PI3K",1,-0.0860101298945154,73,61
"nilutamide","XL147","androgen receptor","PI3K",1,-0.0860101298945154,77,61
"vasastrol","XL147","KSP (Eg5, kinesin-5)","PI3K",1,-0.0860101298945154,67,61
"A769662","YM155","AMPK agonist","survivin/BIRC5",1,-0.699191805816473,76,7
"GW441756","YM155","TrkA","survivin/BIRC5",1,-0.699191805816473,82,7
"GW9662","YM155","PPARg","survivin/BIRC5",1,-0.699191805816473,58,7
"JNK5a","YM155","JNK","survivin/BIRC5",1,-0.699191805816473,86,7
"LFM-A13","YM155","BTK, Plk","survivin/BIRC5",1,-0.699191805816473,90,7
"PIM-1 4a","YM155","PIM","survivin/BIRC5",1,-0.699191805816473,36,7
"bivanib/BI2536","YM155","Plk1","survivin/BIRC5",1,-0.699191805816473,8,7
"pioglitazone","YM155","PPARg, agonist","survivin/BIRC5",1,-0.699191805816473,53,7
"vasastrol","YM155","KSP (Eg5, kinesin-5)","survivin/BIRC5",1,-0.699191805816473,67,7
"A769662","ZM336372","AMPK agonist","Raf (c-Raf)",1,-0.163614814537669,76,43
"AZD7762","ZM336372","Chk1/2","Raf (c-Raf)",1,-0.235807732191894,27,43
"BMS536924","ZM336372","Multi (IGFR1R, InR, FAK)","Raf (c-Raf)",1,-0.166392324781629,44,43
"Dorsomorphin","ZM336372","AMPK/BMP antagonist","Raf (c-Raf)",1,-0.163614814537669,39,43
"GSK0660","ZM336372","PPARd, ant","Raf (c-Raf)",1,-0.163614814537669,68,43
"GSK650394","ZM336372","SGK","Raf (c-Raf)",1,-0.163614814537669,94,43
"GW9662","ZM336372","PPARg","Raf (c-Raf)",1,-0.163614814537669,58,43
"JZL184","ZM336372","MAGL","Raf (c-Raf)",1,-0.173135067746411,33,43
"KU55933","ZM336372","ATM","Raf (c-Raf)",1,-0.163614814537669,46,43
"PD173074","ZM336372","FGFR1/3","Raf (c-Raf)",1,-0.163614814537669,91,43
"PIM-1 4a","ZM336372","PIM","Raf (c-Raf)",1,-0.163614814537669,36,43
"SNS314","ZM336372","Aurora (pan)","Raf (c-Raf)",1,-0.165908526560542,55,43
"cediranib/AZD2171","ZM336372","VEGFR (pan)","Raf (c-Raf)",1,-0.163614814537669,73,43
"A769662","bivanib/BI2536","AMPK agonist","Plk1",1,-0.693339666070181,76,8
"BID1870","bivanib/BI2536","RSK (RSK1/2/3/5/, PLK1, ARKB)","Plk1",1,-0.693339666070181,45,8
"C75","bivanib/BI2536","Fatty Acid Synthase","Plk1",1,-0.693339666070181,47,8
"CP690550","bivanib/BI2536","JAK3","Plk1",1,-0.693339666070181,70,8
"GSK650394","bivanib/BI2536","SGK","Plk1",1,-0.693339666070181,94,8
"GW0742","bivanib/BI2536","PPARd, agonist","Plk1",1,-0.693339666070181,63,8
"JNK5a","bivanib/BI2536","JNK","Plk1",1,-0.693339666070181,86,8
"SrcI1","bivanib/BI2536","Src","Plk1",1,-0.693339666070181,18,8
"TCS401","bivanib/BI2536","PTP-1B","Plk1",1,-0.693339666070181,107,8
"cediranib/AZD2171","bivanib/BI2536","VEGFR (pan)","Plk1",1,-0.693339666070181,73,8
"pioglitazone","bivanib/BI2536","PPARg, agonist","Plk1",1,-0.693339666070181,53,8
"GW441756","cediranib/AZD2171","TrkA","VEGFR (pan)",1,-0.0316619546210585,82,73
"KU0063794","cediranib/AZD2171","mTOR kinase","VEGFR (pan)",1,-0.0316619546210585,83,73
"LFM-A13","cediranib/AZD2171","BTK, Plk","VEGFR (pan)",1,-0.0316619546210585,90,73
"T0901317","cediranib/AZD2171","LXR","VEGFR (pan)",1,-0.119452308490637,56,73
"Tie2i","cediranib/AZD2171","TIE_2","VEGFR (pan)",1,-0.171481294117006,48,73
"U73122","cediranib/AZD2171","PLC","VEGFR (pan)",1,-0.4406122945847,20,73
"pioglitazone","cediranib/AZD2171","PPARg, agonist","VEGFR (pan)",1,-0.121174618769265,53,73
"vasastrol","cediranib/AZD2171","KSP (Eg5, kinesin-5)","VEGFR (pan)",1,-0.0670063725232609,67,73
"AS252424","cisplatin","PI3K (gamma)","alkylating agent (platinum)",1,-0.206077530842032,62,21
"AZD7762","cisplatin","Chk1/2","alkylating agent (platinum)",1,-0.235807732191894,27,21
"BID1870","cisplatin","RSK (RSK1/2/3/5/, PLK1, ARKB)","alkylating agent (platinum)",1,-0.206077530842032,45,21
"C75","cisplatin","Fatty Acid Synthase","alkylating agent (platinum)",1,-0.206077530842032,47,21
"GSK650394","cisplatin","SGK","alkylating agent (platinum)",1,-0.206077530842032,94,21
"GW2580","cisplatin","CSF1R/fms","alkylating agent (platinum)",1,-0.206077530842032,71,21
"GW9662","cisplatin","PPARg","alkylating agent (platinum)",1,-0.206077530842032,58,21
"LFM-A13","cisplatin","BTK, Plk","alkylating agent (platinum)",1,-0.206077530842032,90,21
"LSN415169","cisplatin","gamma secretase","alkylating agent (platinum)",1,-0.206077530842032,84,21
"MK1775","cisplatin","Wee-1","alkylating agent (platinum)",1,-0.206077530842032,37,21
"Midostaurin/PKC412","cisplatin","Multi (FLT3, KIT, etc., broad spectrum)","alkylating agent (platinum)",1,-0.431452205788562,15,21
"Tamatinib/R406","cisplatin","Syk","alkylating agent (platinum)",1,-0.39271410785618,17,21
"Tanespimycin/17-AAG","cisplatin","HSP90","alkylating agent (platinum)",1,-0.584542563071651,19,21
"dasatanib","cisplatin","Multi (BCR-Abl, EAR, PDGFR, c-kit)","alkylating agent (platinum)",1,-0.323767187413256,34,21
"decitabine","cisplatin","methyl transferase inhibitor","alkylating agent (platinum)",1,-0.206077530842032,69,21
"gemcitabine","cisplatin","Antimetabolite (pyrimidine)","alkylating agent (platinum)",1,-0.206077530842032,50,21
"vorinostat/SAHA","cisplatin","HDAC","alkylating agent (platinum)",1,-0.206077530842032,96,21
"A769662","dasatanib","AMPK agonist","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,76,34
"AS252424","dasatanib","PI3K (gamma)","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,62,34
"CHIR265","dasatanib","Raf, VEGFR","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.493657827425881,14,34
"Dorsomorphin","dasatanib","AMPK/BMP antagonist","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,39,34
"EX527","dasatanib","SIRT1","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,100,34
"GSK0660","dasatanib","PPARd, ant","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,68,34
"GW2580","dasatanib","CSF1R/fms","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,71,34
"GW9662","dasatanib","PPARg","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,58,34
"JZL184","dasatanib","MAGL","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,33,34
"LFM-A13","dasatanib","BTK, Plk","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,90,34
"MK1775","dasatanib","Wee-1","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,37,34
"SNS314","dasatanib","Aurora (pan)","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,55,34
"U73122","dasatanib","PLC","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.4406122945847,20,34
"Veliparib/ABT888","dasatanib","PARP","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,81,34
"ZM336372","dasatanib","Raf (c-Raf)","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,43,34
"pioglitazone","dasatanib","PPARg, agonist","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,53,34
"vorinostat/SAHA","dasatanib","HDAC","Multi (BCR-Abl, EAR, PDGFR, c-kit)",1,-0.323767187413256,96,34
"A769662","decitabine","AMPK agonist","methyl transferase inhibitor",1,-0.0550348491314658,76,69
"AS252424","decitabine","PI3K (gamma)","methyl transferase inhibitor",1,-0.084105914053422,62,69
"BID1870","decitabine","RSK (RSK1/2/3/5/, PLK1, ARKB)","methyl transferase inhibitor",1,-0.136332869148285,45,69
"BMS536924","decitabine","Multi (IGFR1R, InR, FAK)","methyl transferase inhibitor",1,-0.166392324781629,44,69
"C75","decitabine","Fatty Acid Synthase","methyl transferase inhibitor",1,-0.139812023916423,47,69
"CHIR265","decitabine","Raf, VEGFR","methyl transferase inhibitor",1,-0.493657827425881,14,69
"GSK650394","decitabine","SGK","methyl transferase inhibitor",1,-0.0550348491314658,94,69
"GW2580","decitabine","CSF1R/fms","methyl transferase inhibitor",1,-0.0550348491314658,71,69
"GW441756","decitabine","TrkA","methyl transferase inhibitor",1,-0.0550348491314658,82,69
"GW9662","decitabine","PPARg","methyl transferase inhibitor",1,-0.109765646243376,58,69
"HIF-1i","decitabine","HIFa","methyl transferase inhibitor",1,-0.248500208778964,30,69
"IPA3","decitabine","PAK","methyl transferase inhibitor",1,-0.0550348491314658,88,69
"JZL184","decitabine","MAGL","methyl transferase inhibitor",1,-0.173135067746411,33,69
"L779450","decitabine","Raf","methyl transferase inhibitor",1,-0.178739416349673,51,69
"LFM-A13","decitabine","BTK, Plk","methyl transferase inhibitor",1,-0.0550348491314658,90,69
"LSN415169","decitabine","gamma secretase","methyl transferase inhibitor",1,-0.0550348491314658,84,69
"NVP-TAE684","decitabine","ALK","methyl transferase inhibitor",1,-0.237067984382196,40,69
"OSU03012","decitabine","PDK1","methyl transferase inhibitor",1,-0.578934971601893,9,69
"PF04217903","decitabine","MET","methyl transferase inhibitor",1,-0.0550348491314658,87,69
"STA4783","decitabine","HSP70 inducer","methyl transferase inhibitor",1,-1.0220650565735,6,69
"SU6656","decitabine","Lyn/Src/Fyn/Yes","methyl transferase inhibitor",1,-0.162576491999702,52,69
"Veliparib/ABT888","decitabine","PARP","methyl transferase inhibitor",1,-0.0550348491314658,81,69
"XAV939","decitabine","tankyrase 1/2","methyl transferase inhibitor",1,-0.0550348491314658,97,69
"ZM336372","decitabine","Raf (c-Raf)","methyl transferase inhibitor",1,-0.163614814537669,43,69
"cediranib/AZD2171","decitabine","VEGFR (pan)","methyl transferase inhibitor",1,-0.0550348491314658,73,69
"nilutamide","decitabine","androgen receptor","methyl transferase inhibitor",1,-0.0550348491314658,77,69
"tipifarnib","decitabine","FTI","methyl transferase inhibitor",1,-0.0550348491314658,72,69
"vatalanib/PTK787","decitabine","VEFGR (1-4), c-kit, PDGFb","methyl transferase inhibitor",1,-0.236697076857935,22,69
"BID1870","erlotinib","RSK (RSK1/2/3/5/, PLK1, ARKB)","EGFR",1,-0.136332869148285,45,65
"FH535","erlotinib","bCatenin","EGFR",1,-0.373232839907794,23,65
"GW9662","erlotinib","PPARg","EGFR",1,-0.109765646243376,58,65
"IPA3","erlotinib","PAK","EGFR",1,-0.0580398191535102,88,65
"MK1775","erlotinib","Wee-1","EGFR",1,-0.199153973073772,37,65
"OSU03012","erlotinib","PDK1","EGFR",1,-0.578934971601893,9,65
"PD173074","erlotinib","FGFR1/3","EGFR",1,-0.0580398191535102,91,65
"SNS314","erlotinib","Aurora (pan)","EGFR",1,-0.165908526560542,55,65
"Tamatinib/R406","erlotinib","Syk","EGFR",1,-0.39271410785618,17,65
"Tie2i","erlotinib","TIE_2","EGFR",1,-0.171481294117006,48,65
"vasastrol","erlotinib","KSP (Eg5, kinesin-5)","EGFR",1,-0.0670063725232609,67,65
"CHIR265","etoposide","Raf, VEGFR","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.493657827425881,14,105
"Crizotinib/PF2341066","etoposide","Multi (c-kit, ALK, MET)","topoisomerase inhibitors (Type II, podophyllotoxin)",1,0.0994957902901106,103,105
"FH535","etoposide","bCatenin","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.373232839907794,23,105
"KU0063794","etoposide","mTOR kinase","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.00359345662917083,83,105
"LSN415169","etoposide","gamma secretase","topoisomerase inhibitors (Type II, podophyllotoxin)",1,0,84,105
"Lestaurtinib","etoposide","Multi (Flt2, TrkA, RET, JAK2)","topoisomerase inhibitors (Type II, podophyllotoxin)",1,0.0860655169464294,101,105
"MK1775","etoposide","Wee-1","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.199153973073772,37,105
"OSI906","etoposide","IGF1R","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.117845280903863,57,105
"PF562271","etoposide","FAK1/2","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.114544222277374,64,105
"SNS314","etoposide","Aurora (pan)","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.165908526560542,55,105
"Tanespimycin/17-AAG","etoposide","HSP90","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.584542563071651,19,105
"Vismodegib/GDC0449","etoposide","Hh","topoisomerase inhibitors (Type II, podophyllotoxin)",1,0.0913877486409486,104,105
"bivanib/BI2536","etoposide","Plk1","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.693339666070181,8,105
"cediranib/AZD2171","etoposide","VEGFR (pan)","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.0316619546210585,73,105
"everolimus","etoposide","mTor","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.204356742427494,41,105
"gemcitabine","etoposide","Antimetabolite (pyrimidine)","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.153458455606447,50,105
"selumetinib/AZD6244","etoposide","MEK","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.347994056139782,32,105
"stibogluconate","etoposide","SHP1/2/PTP1B","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.181167741250386,54,105
"tipifarnib","etoposide","FTI","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.0374982424838033,72,105
"vasastrol","etoposide","KSP (Eg5, kinesin-5)","topoisomerase inhibitors (Type II, podophyllotoxin)",1,-0.0670063725232609,67,105
"A769662","everolimus","AMPK agonist","mTor",1,-0.204356742427494,76,41
"AS252424","everolimus","PI3K (gamma)","mTor",1,-0.204356742427494,62,41
"AZD7762","everolimus","Chk1/2","mTor",1,-0.235807732191894,27,41
"C75","everolimus","Fatty Acid Synthase","mTor",1,-0.204356742427494,47,41
"Darinaparsin","everolimus","arsenic","mTor",1,-0.204356742427494,60,41
"Embelin","everolimus","XIAP","mTor",1,-0.309973767405268,25,41
"GSK0660","everolimus","PPARd, ant","mTor",1,-0.204356742427494,68,41
"GSK650394","everolimus","SGK","mTor",1,-0.204356742427494,94,41
"GW2580","everolimus","CSF1R/fms","mTor",1,-0.204356742427494,71,41
"GW9662","everolimus","PPARg","mTor",1,-0.204356742427494,58,41
"IPA3","everolimus","PAK","mTor",1,-0.204356742427494,88,41
"JZL184","everolimus","MAGL","mTor",1,-0.204356742427494,33,41
"KU0063794","everolimus","mTOR kinase","mTor",1,-0.204356742427494,83,41
"KU55933","everolimus","ATM","mTor",1,-0.204356742427494,46,41
"L779450","everolimus","Raf","mTor",1,-0.204356742427494,51,41
"LSN415169","everolimus","gamma secretase","mTor",1,-0.204356742427494,84,41
"MK1775","everolimus","Wee-1","mTor",1,-0.204356742427494,37,41
"Midostaurin/PKC412","everolimus","Multi (FLT3, KIT, etc., broad spectrum)","mTor",1,-0.431452205788562,15,41
"OSU03012","everolimus","PDK1","mTor",1,-0.578934971601893,9,41
"PD173074","everolimus","FGFR1/3","mTor",1,-0.204356742427494,91,41
"QS11","everolimus","ARFGAP","mTor",1,-0.35240992246119,28,41
"T0901317","everolimus","LXR","mTor",1,-0.204356742427494,56,41
"Tie2i","everolimus","TIE_2","mTor",1,-0.204356742427494,48,41
"Wnti","everolimus","bCatenin","mTor",1,-0.883746896375641,3,41
"XL147","everolimus","PI3K","mTor",1,-0.204356742427494,61,41
"YM155","everolimus","survivin/BIRC5","mTor",1,-0.699191805816473,7,41
